Review Title,Review Text,Review Date
Everyone is warm and friendly,"Checked in yesterday and so far enjoyimg our stay. The view in our room is so nice. The staff here are all very friendly and easy to talk to. The bellman, Ray who welcomed us in our room was so pleasant and I love the personalize touch done. The infinity pool was a superb experience!",Date of stay:
Amazing people,"Uma and Lucy are soooo amazing and they are so patience, kind and helpful they also help us when we need help with certain things. Their always cheerful and they give off positive energy, and I love it. I also like the cleanliness of the Gym and the ammenities",Date of stay:
All you can ask for in a hotel,"The greatest customer service we’ve ever received from any hotel: every staff from housekeeping, concierge, and premium services were amazing and accommodating. This is a great location for everything you would want to see. It is walkable distance to the nearby nature domes. There were two exhibits at the nearby ArtScience museum. It connects to the subway system if you want to explore the city like we did. There’s an indoor casino, and an abundance of stores inside the shopping center. The food court has so much variety and every place we tried was so delicious with great prices, including dessert. You could stay here and eat for the whole week if you wanted to. Daily light shows from the Garden and water show next to the ArtScience museum. Last but not least, the Infinity pool that’s available to guests only. What a view. We will definitely want to come back here when we return to Singapore.
We want to thank Yasmina for a warm welcome and helping us answer any questions we had, and every housekeeping staff that we came across.",Date of stay:
Great gym experience,"Cleanliness is great, very helpful staff. Equipment are well maintained and serviced. Amenities are plentiful, myriad of drinks and snacks to choose from. Towels and shower facilities are provided as well. All in all a good experience and would love to return again",Date of stay:
Just Wow,"Just Wow what an amazing hotel. We stayed from 18th -22nd March 2024 The staff are amazing. My partner booked this for my 60th birthday. He had booked a premium room with city view however on arrival we were upgraded to a suite. Han who booked us in could not have been any more helpful. Everything about this hotel is amazing. The infinity pool is just wow. Thank you to everyone at the Marina bay from the booking staff, our butler, the guys who moved our luggage, the catering staff and not to forget the cleaners. I was truly made to feel special & had the most amazing time thank you so much from Shirley & Lee",Date of stay:
Amazing Experience,Just amazing..Must stay place.. infinity pool gives you infinite happiness..4 storey casino was place to explore if you really interested in playing.. Breakfast and hotel staff was too good..But option of veg indian meal is hard to get in lunch or dinner..Its costly affair,Date of stay:
Soul flow,"Adelene is the best! The class called “soul flow” is a must try!! We get to exercise but it doesn’t feel like it at all! Super recommended!

I tried the pilates class with Lauren before and it was really great too! Instructors and hotel staffs are really friendly too!!",Date of stay:
Must see in Singapore,A must not miss place for tourists to visit when in Singapore. It's a pretty nice place to take a walk and enjoy the view. Plenty of people from locals to tourists. A lot of nearby restos and bars but expect it to be a bit pricey. It's free to walk around. It's nicer to do that late afternoons to evenings since it's rather hot during the day.,Date of stay:
Wonderful spa experience,"Excellent service and wonderful massage, scrub and wrap. And the location is amazing on the 55th floor of marina bay sands. Greeted mediately and was offered snacks and tea when I waited for my service. Having your own dressing room, bathroom area, that’s attached to the massage table with use of a bear made it extra special.",Date of stay:
Memorable staycation,"We had a staycation to celebrate a special moment at MBS. Inspite of my initial scepticism, it kept getting better with every experience - starting with an unsolicited upgrade of our room to a suite with a breathtaking view, later followed by a brilliantly served dinner/drinks.

But the highlight of the stay was - our morning session of sound meditation on L-57 under the open sky. It was conducted by Karuna who was kind enough to share his own story as well. Simply brilliant and a powerful session to reset myself.",Date of stay:
Best gift you can give to yourself in the morning,The Sound meditation in the morning provides me with the perfect start to my day. It helps me to clear my mind and unblock any obstacles and I feel calm and ready to take on the day ahead. I'd definitely suggest giving it a try if you want to start your mornings feeling refreshed and clear-headed!,Date of stay:
Thursday Morning Wellness Experience,Very Good Sound Bath Meditation class at the Skypark Observation Deck. Feeling lighter and refreshed. Thank you Karu and team. It is a good way to start the morning right and the weather was good. Towel and water will be provided and dress in what is most comfortable for you.,Date of stay:
