Review Title,Review Text,Date of Stay,Author Contribution,Rating
THANK YOU,"Our greatest gratitude to ALL staff members at Marina Bay Sands.CHENNA from the Infinity Pool staff, thank you for reminding me that initiative still exists when it comes to attention and service.Staff at the LAVO RESTAURANT, thank you for delivering one of the tastier pizzas we have ever had, and for your kind attention.Staff at the SPAGO RESTAURANT AND SPAGO BAR & LOUNGE, thank you for making our Wedding Anniversary dinner such an enjoyable experience accompanied with excellent high quality standard food, drinks, and great service.To Ms ESHWARI from the hotel security team, for such a prompt and kind service.To ROSIE from MBS Premium Services, for your kind assistance to all our inquiries before arriving in Singapore and during our stay at the MBS.To ELBERT for assisting my wife before our arrival in Singapore, in providing us with one of the best suites we have ever stayed, and for also providing us in writing with suggestions in regards to Singapore’s places and activities.Our biggest THANK YOU to our Executive from MBS Premium Services, Ms ERICA GONZALES. ERICA, you went far and beyond any expectations, making our stay unforgettable. From the minute we arrived at the hotel you were already standing at the front with a big smile providing us with a great personalised service and checking us in straight into our suite.The constant assistance and communication that you provided every single day made us feel welcomed and made everything extremely easy.The day of our check out you came to our suite straight away with the assistance of luggage service, but also you arrived with an incredible and detailed gift with a message in a card that was handwritten by yourself about our wedding anniversary.You took us downstairs and immediately provided us with transport.But one thing we will never forget was that you remained there for us until our transport drove us away, and I remember looking at the review mirror and you were still standing there with the biggest smile making sure that was all taken care off.THANK YOU.",December 2023,1,5.0
Great experience .... indeed!!,Marina Bay SandsSingaporeThankful to Yve931361051YVE was  soo helpful during our check out process at marina bay sands . THANK YOU YVE! We had a blast during our stay at marina bay sands ... the accomadation the food is superb ... hope to be back very soon ... ...........,December 2023,2,5.0
Excellent!,We spent two nights here on vacation and I must say that everything is excellent.. and  YVE (the front desk) was helpful during check out process... She takes great pride in helping each and every customer.,December 2023,1,5.0
Great Time,"It was my first time and I loved it, the swimming pool especially. I went there early in the morning when there were not a lot of people yet so I could do laps. The atmosphere was quiet but you can fill the energy with a bit of music in the air and crowds slowly filling the space. The weather was comfortable with the wind. The view of the Singapore skyline was great and unobstructed 360 degrees. It was a shame I was there just in the early morning to swim, and so I missed the chance to see what it is like other times of the day especially at sunset. I guess one reason to go back 😊 Special thanks to Alvin who checked me into the hotel (and upgraded my room 😊) - he gave a nice introduction about the hotel since it was my first time.",December 2023,16,5.0
Best and beautiful hotel,"We stayed in rooms 506 and 523 in Tower 3. Room 523 had best view of the park. Rooms were very neat. Rooftop swimming pool was amazing.  Train station in underneath the hotel which made transportation very easy. Enjoyed every minute of our stay in this hotel.If we can afford the prices, this is the best hotel",December 2023,4,5.0
The Wonderful Paiza Suite Experience,"I had an amazing stay at the Paiza suite #4569. The experience of the entire stay truly exceeded my expectations.Firstly, the start comes from the room. It was astonishingly huge in size. That is capable of hosting at least 12 guests. Very good for hosting a Christmas or New Year's party. The technology from this suite was insane. You can control from the ipad panel. The bathroom was amazing, too. The shower room had two shower heads. It really brings it up to the next level. Secondly, the amenities in the suite was top notch. It even had a water menu. It is truly unique and not only cater but also exceeded your needs. The bath jacuzzi experience was superb🤩Lastly, the butler service team, which sums up the whole luxury experience. Mr Suba, a Malaysian butler, was so humble and passionate about service. He was so detailed in everything he does. Be it the cleanliness of the suite and maintained the standard of the service. He is truly a 7 star butler. Amazing and kudos to him! I can foresee he can go far. Mr Paolo was amazing, too. He was patient and detailed as well. Even though how busy he gets, his smile will also be there. Thank you so muchJerry Chin",December 2023,1,5.0
A Compliment,The service is great. The assistant UmA and trainer Anant are very passiontate and friendly. The equipments are in good conditions. The gym is very big. Free drinks and fruits are provided. Toilets are in great conditions too.,December 2023,2,5.0
Just wow,"We stayed here almost a fortnight ago, and we already want to go back!It was so much fun right from the start. We were greeted on arrival by Patrick, who asked us where Charlie was. Charlie who? Charlie’s Angels of course, lol. Then at check in, Belinda was amazing and really took care of us.Our Sands Premier Suite far exceeded our expectations. It was on level 40 of Tower 1 with a stunning view overlooking the Gardens by the Bay and the Singapore Strait. Apparently this floor has been recently renovated so the fittings and furnishings were all new. At 95m2 there was plenty of room with a living room, bedroom, walk in robe and large bathroom. We could have spent most of our stay in the room but the hotel has much to offer.After a stroll through the shopping area, we went up to the rooftop pool which is open late. This is one of the main reasons we stayed at MBS and it certainly lived up to our expectations.  There are plenty of dining and entertainment options from a large food court through to fine dining options such as Tetsuya’s. We made the point of booking a lounge at Ce La Vi to watch the sunset one night - it has a view of the city skyline and you can watch the Spectra light show at 8pm or 9pm.The hotel is 20 minutes from Changi Airport, and is located in close proximity to the city and many other sights and activities so is an ideal base for a visit to Singapore. Amazing!",December 2023,74,5.0
Below average,"Amenities are old. I am currently staying in tower 3. I made complaints about bathroom door too hard to close and open. My 9 year old could not open or close. My back started paining due to offering them to help. I was told by hotel management that they don't have other rooms as hotel is fully booked. I don't believe that was true because rooms were still available to rent online. This is what you get after paying S$1200. I have paid $400- $500 in europe , asia and US, for hotels and they offered better service. No way acceptable. Singapore is small so all location are good. Only reason for 2 star is good view from room and pool. Hotel didn't meet my expectation at all.",December 2023,2,2.0
The Heart of Singapore,The best hotel where one can be in this lifetime. Beautiful high brand showrooms on the ground floor and the enticing rooms on the upper floors with great gardens in between connecting the trio towers. A great experience.Dr. Rajesh BholaTravel and Spiritual Writer & Columnist,October 2023,211,5.0
Amazing,That is the jewel of all hotels and specially the rooftop swimming pool with a breathtaking view and also very good customer service. The atmosphere in the resort is very wonderful and makes you feel very welcomed. One of the best I ever travelled.,February 2024,55,5.0
Too big. Unfriendly. Fullerton hotel much more convivial. Go there instead. Much better in every way,Popped in to see what the fuss is all about  after visiting Gardens in the Bay.Hotel is a magnificent structure but don't expect a warm welcome unless you are staying there. Happy to charge a fortune for drinks but not treat you accordingly. 1/5,February 2024,4,1.0
Unique in the top decile of hotels,"It is an iconic, three-tower luxury hotel noted for its uniqueness, beauty, charm, architecture, infinity pool, roof-top and other fine restaurants, high-end shops, and more. On top of the three towers is a one-hectare aerial garden, which connects the towers. The rooms are exquisitely furnished, charming, and beautiful.",February 2024,"65,227",5.0
