Review Title,Review Text,Date of Stay,Author Contribution,Rating
What an experience,Stayed here for 3 nights before doing a beach holiday in Malaysia.What a great experience we all had.Really enjoyed the great experience of the Hotel and the adjoining Mall with loads of options for shopping and dining.The Pool at the top is obviously a great experience as were the restaurants there which we enjoyed.Great time was had - we hope to go back one day.,July 2023,20,5.0
Superb experience,"A special stay, amazing hotel and lived up to our expectations thank you. Dinner in spago was lovely and always managed to get poolside beds. Great service throughout. Super location and enjoyed everything the hotel has to offer. Made our stay in Singapore extra special.",August 2023,178,5.0
Once in a lifetime luxury,"I will never stay at a better hotel in my life. We had booked one night at MBS as part of our honeymoon, but we got upgraded to a Paiza suite. Holy shooting damn it was beautiful. I mean. Oh my god. Big. Luxurious. Perfect. With skyline views from 41st floor. Never will I ever stay at a better suite. 24 hour butler service. Jesus We only have positives thing to say. We just stayed in our room, we never wanted to leave. At 11 pm we looked at the city skyline from our bathtub. Our honeymoon peaked here. Thank you for that amazing experience!",August 2023,14,5.0
Amazing Birthday Stay at MBS,"My family spend a night at MBS for my wife’s birthday. In addition to the amazing room charges, Charmaine, John, Dyana and team service was Superstars. Despite some minor hiccups along the way, everything far exceeded our wildest expectations. Started with the exceptional room size, layout, views on both sides & outstanding comfort, complete with all birthday frills especially the lush bouquet and strawberry cake & champagne; followed by making full use of the 1 day plus stay (thru their kind courteous extension & complimentary valet parking) to go to the mall several times yesterday, had a long morning boardwalk walk, visited the Flower Dome and enjoyed a well reserved sumptuous buffet lunch at Rise. Once again, thanks a million MBS, Charmaine, John, Dyana & team. Cheers 👏👍🤩",May 2023,1,5.0
Perfect propose and wonderful hotel,"여자친구에게 할 프로포즈를 위해 호텔에 도움을 요청했고, Premium service team에서 가이드와 도움을 주었습니다.호텔에 체크인하면서는 premium service team의 John님이 정말 센스있게 도와주셔서 프로포즈를 잘 마무리할 수 있었고, 프로포즈 또한 성공했습니다!호텔 컨디션이나 서비스 또한 세계 최고호텔이라 할 만했고, 제 인생 가장 멋진 하루를 보냈습니다!I prepared a surprise propose for my girlfriend from a few days before check in without my girlfriend knowing, John from premium service team took care of us all we need, so I did a perfect propose and she said yes!!😊Moreover, Room condition and service were perfectit was one of the best day in my life",August 2023,1,5.0
Lots of Awesomeness staying at the most iconic and the most instagrammed Marina Bays Sands Hotel:,"Fantastic location and did not disappoint 😊 Our room was on the 20th floor that offered a beautiful and spectacular panoramic view of the city, the Marina Bay and the famous Merlion. The room was equipped and stacked with things we needed. The infinity pool on the rooftop is a huge plus for sure. The view of Singapore from the infinity pool is beyond breath-taking. All the staff are incredibly friendly, efficient and obviously well trained.  Shout out to Din Mahamud in the Concierge department and Guest Service agent – Yancy for taking care of us. To the staff who did very well in cleaning and putting our room in order. Thank you all for a wonderful wonderful experience.  I hope to go back!",August 2023,66,5.0
Marina Bay Sands Fitness Centre,"Hi!Have a nice day for all.I would like to introduce to you all at Marina Bay Sands fitness centre.An inconspicuous corner,a place where few people pass by BUT once you get to this place,you will fall in love with him.Why?Sparrows are small,it has all internal organ.The sports equipment inside is very complete it makes people want to move involuntarily and more caring waiters,that is ROSEYN,UMA and AFFA. They are very loving and patient in teaching for everyone make people feel intimacy.Don’t forget to come to this place.",August 2023,2,5.0
Great Culture,"My wife and I decided to visit Singapore before our final destination, and it was an excellent choice. We saw the culture, mingled with the people, saw modern Asian architecture, experimented on food and all of the above were wonderful experiences. Shopping everywhere, their subway system are very easy to maneuver, taxi is easy access as well. Singapore, make sure that it’s in your bucket list.",February 2023,31,5.0
"Over priced, if your not a millionaire don’t go as your treated like your not important.","Prices are astronomical, get way more for your money elsewhere in the country with just as high standards. Can’t even get in any of the restaurants on site. Charge another 18% on top of already expensive room. Clear prioritise for more important guests. Pool and location only good bit.",August 2023,7,1.0
Best in singapore,5 out of 5 best hotel in singapore . They have sky lounge infinity pool plus shipping area also in the hotel .. you can view whole Singapre . I was with my family .  Nice staff .. friendly  .  If plan singapore you must stay at lest one night in this hotel and do go any where,August 2023,187,5.0
